id;mobile;content;status;create_date;sended_date;type
1;oh;edition share;27094;2024-09-20;2024-09-20;27805
2;recorder;helo doubtfully spicy;25875;2024-09-19;2024-09-19;23976
3;oh;splendid keenly phooey;11809;2024-09-20;2024-09-20;5281
4;radar;tailgate;24606;2024-09-20;2024-09-20;2588
5;among;cavort samurai;32624;2024-09-19;2024-09-19;10461
6;yearly realize afore;sternly;15326;2024-09-19;2024-09-19;5661
7;all adjudge;cultured member;25138;2024-09-19;2024-09-20;17183
8;club blabber;including;27420;2024-09-19;2024-09-20;19610
9;brazen considering straddle;dim;25034;2024-09-20;2024-09-19;28066
10;brr woot who;nor before;26187;2024-09-20;2024-09-19;7180
